Time,Ignition_Timing,Differential_Pressure_Sensor_Voltage,Knock_Correction,Fuel_Temperature,Secondary_Wastegate_Duty_Cycle,Idle_Speed_Control_Valve_Step,Intake_VVT_Advance_Angle_Left
21.367,-38.5,0.66,62.0,-30,43.922,4,107
21.424,-38.5,0.66,62.0,-30,43.922,4,107
21.482,-38.5,0.66,62.0,-30,43.922,4,107
21.541,-38.5,0.66,62.0,-30,43.922,4,107
21.599,-38.5,0.66,62.0,-30,43.922,4,107
21.657,-38.5,0.66,62.0,-30,43.922,4,107
21.715,-38.5,0.66,62.0,-30,43.922,4,107
21.774,-38.5,0.66,62.0,-30,43.922,4,107
21.833,-38.5,0.66,62.0,-30,43.922,4,107
21.891,-38.5,0.66,62.0,-30,43.922,4,107
21.948,-38.5,0.66,62.0,-30,43.922,4,107
22.007,-38.5,0.66,62.0,-30,43.922,4,107
22.065,-38.5,0.66,62.0,-30,43.922,4,107
22.124,-38.5,0.66,62.0,-30,43.922,4,107
22.181,-38.5,0.66,62.0,-30,43.922,4,107
22.24,-38.5,0.66,62.0,-30,43.922,4,107
22.298,-38.5,0.66,62.0,-30,43.922,4,107
22.356,-38.5,0.66,62.0,-30,43.922,4,107
22.415,-38.5,0.66,62.0,-30,43.922,4,107
22.473,-38.5,0.66,62.0,-30,43.922,4,107
22.531,-38.5,0.66,62.0,-30,43.922,4,107
22.589,-38.5,0.66,62.0,-30,43.922,4,107
22.647,-38.5,0.66,62.0,-30,43.922,4,107
22.706,-38.5,0.66,62.0,-30,43.922,4,107
22.764,-38.5,0.66,62.0,-30,43.922,4,107
22.823,-38.5,0.66,62.0,-30,43.922,4,107
22.881,-38.5,0.66,62.0,-30,43.922,4,107
22.939,-38.5,0.66,62.0,-30,43.922,4,107
22.996,-38.5,0.66,62.0,-30,43.922,4,107
23.055,-38.5,0.66,62.0,-30,43.922,4,107
23.113,-38.5,0.66,62.0,-30,43.922,4,107
23.171,-38.5,0.66,62.0,-30,43.922,4,107
23.23,-38.5,0.66,62.0,-30,43.922,4,107
23.288,-38.5,0.66,62.0,-30,43.922,4,107
23.346,-38.5,0.66,62.0,-30,43.922,4,107
23.404,-38.5,0.66,62.0,-30,43.922,4,107
23.462,-38.5,0.66,62.0,-30,43.922,4,107
23.52,-38.5,0.66,62.0,-30,43.922,4,107
23.579,-38.5,0.66,62.0,-30,43.922,4,107
23.637,-38.5,0.66,62.0,-30,43.922,4,107
23.695,-38.5,0.66,62.0,-30,43.922,4,107
23.753,-38.5,0.66,62.0,-30,43.922,4,107
23.811,-38.5,0.66,62.0,-30,43.922,4,107
23.87,-38.5,0.66,62.0,-30,43.922,4,107
23.928,-38.5,0.66,62.0,-30,43.922,4,107
23.986,-38.5,0.66,62.0,-30,43.922,4,107
24.045,-38.5,0.66,62.0,-30,43.922,4,107
24.102,-38.5,0.66,62.0,-30,43.922,4,107
24.161,-38.5,0.66,62.0,-30,43.922,4,107
24.218,-38.5,0.66,62.0,-30,43.922,4,107
24.277,-38.5,0.66,62.0,-30,43.922,4,107
24.335,-38.5,0.66,62.0,-30,43.922,4,107
24.393,-38.5,0.66,62.0,-30,43.922,4,107
24.451,-38.5,0.66,62.0,-30,43.922,4,107
24.509,-38.5,0.66,62.0,-30,43.922,4,107
24.567,-38.5,0.66,62.0,-30,43.922,4,107
24.625,-38.5,0.66,62.0,-30,43.922,4,107
24.684,-38.5,0.66,62.0,-30,43.922,4,107
24.742,-38.5,0.66,62.0,-30,43.922,4,107
24.8,-38.5,0.66,62.0,-30,43.922,4,107
24.858,-38.5,0.66,62.0,-30,43.922,4,107
24.916,-38.5,0.66,62.0,-30,43.922,4,107
24.974,-38.5,0.66,62.0,-30,43.922,4,107
25.033,-38.5,0.66,62.0,-30,43.922,4,107
25.091,-38.5,0.66,62.0,-30,43.922,4,107
25.149,-38.5,0.66,62.0,-30,43.922,4,107
25.207,-38.5,0.66,62.0,-30,43.922,4,107
25.265,-38.5,0.66,62.0,-30,43.922,4,107
25.324,-38.5,0.66,62.0,-30,43.922,4,107
25.382,-38.5,0.66,62.0,-30,43.922,4,107
25.44,-38.5,0.66,62.0,-30,43.922,4,107
25.498,-38.5,0.66,62.0,-30,43.922,4,107
25.556,-38.5,0.66,62.0,-30,43.922,4,107
25.614,-38.5,0.66,62.0,-30,43.922,4,107
25.672,-38.5,0.66,62.0,-30,43.922,4,107
25.73,-38.5,0.66,62.0,-30,43.922,4,107
25.788,-38.5,0.66,62.0,-30,43.922,4,107
25.847,-38.5,0.66,62.0,-30,43.922,4,107
25.905,-38.5,0.66,62.0,-30,43.922,4,107
25.963,-38.5,0.66,62.0,-30,43.922,4,107
26.021,-38.5,0.66,62.0,-30,43.922,4,107
26.079,-38.5,0.66,62.0,-30,43.922,4,107
26.137,-38.5,0.66,62.0,-30,43.922,4,107
26.196,-38.5,0.66,62.0,-30,43.922,4,107
26.253,-38.5,0.66,62.0,-30,43.922,4,107
26.311,-38.5,0.66,62.0,-30,43.922,4,107
26.369,-38.5,0.66,62.0,-30,43.922,4,107
26.428,-38.5,0.66,62.0,-30,43.922,4,107
26.486,-38.5,0.66,62.0,-30,43.922,4,107
26.544,-38.5,0.66,62.0,-30,43.922,4,107
26.602,-38.5,0.66,62.0,-30,43.922,4,107
26.661,-38.5,0.66,62.0,-30,43.922,4,107
26.718,-38.5,0.66,62.0,-30,43.922,4,107
26.777,-38.5,0.66,62.0,-30,43.922,4,107
26.835,-38.5,0.66,62.0,-30,43.922,4,107
26.893,-38.5,0.66,62.0,-30,43.922,4,107
26.951,-38.5,0.66,62.0,-30,43.922,4,107
27.009,-38.5,0.66,62.0,-30,43.922,4,107
27.067,-38.5,0.66,62.0,-30,43.922,4,107
27.126,-38.5,0.66,62.0,-30,43.922,4,107
27.183,-38.5,0.66,62.0,-30,43.922,4,107
27.242,-38.5,0.66,62.0,-30,43.922,4,107
27.3,-38.5,0.66,62.0,-30,43.922,4,107
27.358,-38.5,0.66,62.0,-30,43.922,4,107
27.416,-38.5,0.66,62.0,-30,43.922,4,107
27.473,-38.5,0.66,62.0,-30,43.922,4,107
27.531,-38.5,0.66,62.0,-30,43.922,4,107
27.59,-38.5,0.66,62.0,-30,43.922,4,107
27.647,-38.5,0.66,62.0,-30,43.922,4,107
27.706,-38.5,0.66,62.0,-30,43.922,4,107
27.764,-38.5,0.66,62.0,-30,43.922,4,107
27.822,-38.5,0.66,62.0,-30,43.922,4,107
27.88,-38.5,0.66,62.0,-30,43.922,4,107
27.938,-38.5,0.66,62.0,-30,43.922,4,107
27.996,-38.5,0.66,62.0,-30,43.922,4,107
28.055,-38.5,0.66,62.0,-30,43.922,4,107
28.112,-38.5,0.66,62.0,-30,43.922,4,107
28.17,-38.5,0.66,62.0,-30,43.922,4,107
28.229,-38.5,0.66,62.0,-30,43.922,4,107
28.287,-38.5,0.66,62.0,-30,43.922,4,107
28.345,-38.5,0.66,62.0,-30,43.922,4,107
28.403,-38.5,0.66,62.0,-30,43.922,4,107
